2026-01-19 21:29:37,302 | INFO | FAISS | Resultados FAISS: [{'articulo': '26277', 'descripcion': 'REDUCCION PVC EXCENTRICA H-M D.110/90 RIUVERT AC-20E', 'distancia': 1.3716340065002441}, {'articulo': '13149', 'descripcion': 'REDUCCION PPR EGB 50-40', 'distancia': 1.3739210367202759}, {'articulo': '44783', 'descripcion': 'REDUCCION D.56 1 1/4X1/2"I. ZINCADA', 'distancia': 1.3743879795074463}, {'articulo': '26278', 'descripcion': 'REDUCCION PVC EXCENTRICA H-M D.125/110 RIUVERT AC-20E', 'distancia': 1.3780508041381836}, {'articulo': '13146', 'descripcion': 'REDUCCION PPR EGB 50-20', 'distancia': 1.3798980712890625}]
2026-01-19 21:29:37,302 | INFO | EXCEL | Buscando producto en Excel: 26277
2026-01-19 21:29:37,304 | INFO | EXCEL | Producto encontrado: {'articulo': '26277', 'descripcion': 'REDUCCION PVC EXCENTRICA H-M D.110/90 RIUVERT AC-20E', 'stock': 25, 'ubicacion': '0000000000'}
2026-01-19 21:29:37,305 | INFO | EXCEL | Buscando producto en Excel: 13149
2026-01-19 21:29:37,306 | INFO | EXCEL | Producto encontrado: {'articulo': '13149', 'descripcion': 'REDUCCION PPR EGB 50-40', 'stock': 60, 'ubicacion': '0000000000'}
2026-01-19 21:29:37,307 | INFO | EXCEL | Buscando producto en Excel: 44783
2026-01-19 21:29:37,310 | INFO | EXCEL | Producto encontrado: {'articulo': '44783', 'descripcion': 'REDUCCION D.56 1 1/4X1/2"I. ZINCADA', 'stock': 70, 'ubicacion': '0000000000'}
2026-01-19 21:29:37,311 | INFO | EXCEL | Buscando producto en Excel: 26278
2026-01-19 21:29:37,312 | INFO | EXCEL | Producto encontrado: {'articulo': '26278', 'descripcion': 'REDUCCION PVC EXCENTRICA H-M D.125/110 RIUVERT AC-20E', 'stock': 24, 'ubicacion': '0000000000'}
2026-01-19 21:29:37,312 | INFO | EXCEL | Buscando producto en Excel: 13146
2026-01-19 21:29:37,314 | INFO | EXCEL | Producto encontrado: {'articulo': '13146', 'descripcion': 'REDUCCION PPR EGB 50-20', 'stock': 13, 'ubicacion': '0000000000'}
2026-01-19 21:29:37,314 | INFO | AGENT | Respuesta final generada correctamente
2026-01-19 21:29:37,314 | INFO | API | Respuesta enviada
2026-01-19 21:35:53,362 | INFO | API | Mensaje recibido: tienes calentadores electricos
2026-01-19 21:35:53,365 | INFO | AGENT | Procesando mensaje: tienes calentadores electricos
2026-01-19 21:35:53,365 | INFO | LLM | Interpretando mensaje: tienes calentadores electricos
